Métrica;;;;;;Média;DesvioPadrão
fit_time;5.602;5.606;5.671;5.701;5.527;5.621;0.061
score_time;0.285;0.297;0.293;0.297;0.309;0.296;0.008
precision;0.080;0.074;0.077;0.086;0.080;0.080;0.004
precision_micro;0.857;0.859;0.857;0.861;0.856;0.858;0.002
precision_macro;0.539;0.535;0.537;0.542;0.538;0.538;0.002
precision_weighted;0.984;0.983;0.984;0.985;0.984;0.984;0.001
recall;0.833;0.763;0.814;0.883;0.833;0.825;0.039
recall_micro;0.857;0.859;0.857;0.861;0.856;0.858;0.002
recall_macro;0.845;0.811;0.836;0.872;0.845;0.842;0.019
recall_weighted;0.857;0.859;0.857;0.861;0.856;0.858;0.002
f1;0.146;0.135;0.141;0.157;0.146;0.145;0.007
f1_micro;0.857;0.859;0.857;0.861;0.856;0.858;0.002
f1_macro;0.534;0.529;0.532;0.541;0.534;0.534;0.004
f1_weighted;0.910;0.912;0.911;0.913;0.910;0.911;0.001
accuracy;0.857;0.859;0.857;0.861;0.856;0.858;0.002
roc_auc;0.925;0.901;0.929;0.934;0.927;0.923;0.011
