Métrica;;;;;;Média;DesvioPadrão
fit_time;7.905;7.800;7.603;7.455;7.363;7.625;0.204
score_time;0.305;0.335;0.328;0.316;0.309;0.319;0.011
precision;0.000;0.000;0.500;0.000;0.000;0.100;0.200
precision_micro;0.985;0.985;0.986;0.985;0.985;0.985;0.000
precision_macro;0.493;0.493;0.743;0.493;0.493;0.543;0.100
precision_weighted;0.971;0.971;0.979;0.971;0.971;0.972;0.003
recall;0.000;0.000;0.017;0.000;0.000;0.003;0.007
recall_micro;0.985;0.985;0.986;0.985;0.985;0.985;0.000
recall_macro;0.500;0.500;0.508;0.500;0.500;0.502;0.003
recall_weighted;0.985;0.985;0.986;0.985;0.985;0.985;0.000
f1;0.000;0.000;0.033;0.000;0.000;0.007;0.013
f1_micro;0.985;0.985;0.986;0.985;0.985;0.985;0.000
f1_macro;0.496;0.496;0.513;0.496;0.496;0.500;0.007
f1_weighted;0.978;0.978;0.979;0.978;0.978;0.978;0.000
accuracy;0.985;0.985;0.986;0.985;0.985;0.985;0.000
roc_auc;0.909;0.887;0.918;0.925;0.913;0.910;0.013
